"species","arbutus-ridge","downtown","dunbar-southlands","fairview","grandview-woodland","hastings-sunrise","kensington-cedar cottage","kerrisdale","killarney","kitsilano","marpole","mount pleasant","oakridge","renfrew-collingwood","riley park","shaughnessy","south cambie","strathcona","sunset","victoria-fraserview","west end","west point grey"
"NORDMANNIANA",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OBASSIA",0,0,1,0,0,10,9,2,0,16,1,0,2,14,8,6,0,1,5,6,0,6
"PADUS",0,0,6,1,0,0,0,0,1,1,7,9,0,2,1,0,1,0,0,1,0,3
"PAVIA",0,0,1,0,0,0,0,0,0,10,0,0,1,1,0,0,0,0,0,0,0,0
"PLATYPHYLLA",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PLATYPHYLLOS",0,0,5,0,0,6,0,0,0,2,0,0,0,0,0,0,2,0,0,1,0,1
"POPULIFOLIA",0,0,3,0,3,1,5,19,0,3,0,0,0,0,1,2,0,0,10,0,0,8
"PRINUS",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,3
"PROCERA",0,0,2,0,0,1,0,24,1,4,4,0,0,0,0,21,20,0,0,1,2,0
"PUNGENS",0,0,43,4,2,4,7,3,2,2,4,3,5,5,10,1,5,1,1,1,0,6
"REGIA",0,0,3,1,0,3,3,5,2,4,0,0,0,3,0,1,2,0,0,3,0,3
"RUGOSA",0,0,8,0,2,0,0,3,11,2,1,1,0,1,3,0,0,0,0,0,0,4
"SATIVA",0,0,5,0,2,8,11,1,0,1,0,1,0,1,1,14,0,0,0,4,0,0
"SEROTINA",0,0,2,0,0,8,0,0,0,0,0,0,0,1,24,3,0,1,0,0,0,0
"SOULANGEANA  X",0,0,1,0,0,3,0,2,0,6,0,0,3,1,0,1,0,0,0,0,2,0
"SPECTABILIS",0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SYRIACA",0,0,3,12,10,35,12,13,2,7,4,6,0,20,3,7,1,0,32,2,9,13
"TEGMENTOSUM",0,0,1,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,2,0,0,0
"TOMENTOSA",0,0,4,14,0,0,0,0,0,1,0,1,0,0,1,5,0,0,2,0,0,1
"TREMULOIDES",0,0,4,0,0,0,18,0,1,0,0,0,0,16,0,0,0,0,0,1,0,0
"TRILOBA",0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TYPHINA",0,0,6,2,1,3,1,0,0,1,1,3,0,0,1,0,0,0,0,0,0,3
"YUNNANENSIS",0,0,5,2,3,1,0,2,0,0,0,0,0,0,0,0,0,0,2,1,0,0
"ALBA-SINENSIS",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"ANTARTICA",0,0,0,1,0,2,2,0,0,1,8,0,0,0,1,1,0,5,0,5,0,0
"BUNGEI",0,0,0,10,0,2,1,0,7,2,6,0,0,0,0,2,1,0,8,0,3,1
"GLABRUM",0,0,0,7,0,1,2,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0
"HENRYI",0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HYBRIDA X",0,0,0,3,2,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LUSITANICA",0,0,0,1,29,7,1,6,0,0,0,0,0,2,1,0,0,2,2,0,1,0
"MOLLIS",0,0,0,1,4,0,1,0,0,0,0,0,0,0,3,0,3,0,8,0,0,0
"OFFICINALIS",0,0,0,1,0,0,3,0,0,1,0,0,0,2,0,0,0,1,0,0,0,0
"PANICULATA",0,0,0,3,4,22,0,0,4,1,0,0,0,0,1,0,0,0,0,3,0,0
"PONDEROSA",0,0,0,1,1,7,1,0,4,1,0,1,2,1,1,0,3,0,0,0,0,1
"SEMPREVIRENS",0,0,0,1,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
"TATARICUM",0,0,0,1,0,3,0,0,1,1,0,3,2,10,3,0,0,0,4,1,1,0
"CAPITATA",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COCOMILIA",0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COMMUNIS",0,0,0,0,3,0,7,1,0,3,1,0,0,2,0,3,0,0,1,0,0,0
"DOMESTICA",0,0,0,0,3,7,0,0,1,2,0,0,0,2,0,2,0,1,1,3,3,0
"ERUBESCENS",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,3,0
"JACQUEMONTII",0,0,0,0,1,1,2,16,0,2,10,4,0,29,1,3,0,0,4,1,2,2
"LAEVIS",0,0,0,0,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
"MAXIMA",0,0,0,0,1,3,0,0,1,2,0,1,0,2,0,0,0,0,1,0,0,2
"MESERVEAE",0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OBTUSA",0,0,0,0,6,0,1,0,0,2,0,0,2,2,1,7,0,0,1,0,0,0
