"street_block","street_use","neighbourhood","street_length"
"2400 E 5TH AV","Residential","grandview-woodland",1.34182374455613
"2400 E 5TH AV","Residential","hastings-sunrise",53.3192173184062
"2000 GARDEN DRIVE","Residential","grandview-woodland",50.1008068977283
"2000 KAMLOOPS ST","Residential","hastings-sunrise",50.2431978506462
"2000 PENTICTON ST","Residential","hastings-sunrise",50.2442076775915
"2800 E 7TH AV","Residential","hastings-sunrise",143.712252508684
"3600 SW MARINE DRIVE","Arterial","dunbar-southlands",62.5175163062229
"3600 W 48TH AV","Residential","dunbar-southlands",109.367749113005
"6500-6600 BLENHEIM ST","Collector","kerrisdale",221.248955179963
"1900 KINGSWAY","Arterial","kensington-cedar cottage",60.0656485937004
"4300 SIDNEY ST","Residential","kensington-cedar cottage",51.5230445237311
"600 HAMILTON ST","Arterial","downtown",176.75349112376
"2800 E 27TH AV","Residential","renfrew-collingwood",50.1242223684236
"4200 RENFREW ST","Residential","renfrew-collingwood",45.2297859038819
"4000 KASLO ST","Residential","renfrew-collingwood",49.574045275751
"2800 E 25TH AV","Residential","renfrew-collingwood",109.292358012999
"4000 PENTICTON ST","Residential","renfrew-collingwood",49.6575466347292
"4100 PENTICTON ST","Residential","renfrew-collingwood",2.01603001045976
"3800-3900 BOYD DIVERSION","Secondary Arterial","renfrew-collingwood",36.59147948424
"600 NOOTKA ST","Residential","hastings-sunrise",45.2791171532452
"700 LILLOOET ST","Residential","hastings-sunrise",45.1850856935241
"800 CASSIAR ST","Residential","hastings-sunrise",45.8959309410322
"600 SKEENA ST","Residential","hastings-sunrise",45.7550865586531
"700 SKEENA ST","Residential","hastings-sunrise",45.2183866717903
"600 KOOTENAY ST","Residential","hastings-sunrise",45.4320383109463
"3300 TURNER ST","Residential","hastings-sunrise",55.3422611036002
"3100 ADANAC ST","Residential","hastings-sunrise",44.9161180982761
"1000 W 32ND AV","Residential","shaughnessy",49.7785929458361
"1100 W 32ND AV","Residential","shaughnessy",52.3781931843921
"1100 W 32ND AV","Residential","shaughnessy",84.5451142641177
"1200 W 32ND AV","Residential","shaughnessy",85.817805751033
"1300 NANTON AV","Residential","shaughnessy",81.0046761235675
"1100 W 29TH AV","Residential","shaughnessy",110.120969504315
"4500 OSLER ST","Residential","shaughnessy",102.192446618529
"900 W HASTINGS ST","Arterial","downtown",61.4588470515104
